ID; ID ASIGNATURA; NOMBRE; REALIZADA; HORAS; OBSERVACION
1;6201;Examen escrito 1;true;2 horas;Evaluación efectiva
2;6201;Examen escrito 2;true;2 horas;Evaluación efectiva
3;6201;Quiz;true;2 horas;Indice de aprobados medio/bajo
4;6201;Proyecto;2 semanas;true;Evaluación efectiva nota promedio media/alta
5;6301;Examen escrito 1;true;2 horas;Evaluación efectiva. Alto índice de aprobados
6;6301;Examen escrito 2;true;2 horas;Evaluación efectiva. Alto índice de aprobados
7;6301;Quiz;true;2 horas;Indice alto de aprobados
8;6301;Proyecto;2 semanas;true;Evaluación efectiva y buen desarrollo de estrategias
9;6301;Tareas;1 semana;true;Evaluación efectiva. Alto índice de notas
10;8206;Examen escrito 1;true;2 horas;Contraste de notas. Elevado índice de notas altas y bajas
11;8206;Examen escrito 2;true;2 horas;Contraste de notas. Elevado índice de notas altas y bajas
12;8206;Quiz 1;true;2 horas;Indice de aprobados medio/bajo
13;8206;Quiz 2;true;2 horas;Indice de aprobados medio/bajo
14;6106;Examen escrito 1;true;2 horas;Elevado indice de notas altas y bajas
15;6106;Examen escrito 2;true;2 horas;Elevado indice de notas altas y bajas
16;6106;Quiz 1;true;1 hora;Indice alto de aprobados. Evaluación efectiva
17;6106;Quiz 2;true;1 hora;Indice alto de aprobados. Evaluación efectiva
18;6107;Examen escrito 1;true;2 horas;Evaluación efectiva
19;6107;Examen escrito 2;true;2 horas;Evaluación efectiva
20;6107;Quiz;true;2 horas;Indice de aprobados medio/bajo
21;6107;Proyecto;2 semanas;true;Evaluación efectiva nota promedio media/alta
