//NOMBRE CURSO; MATRICULA; EVALUACIONES; DURACION DE CLASE POR DIA
Algoritmos y Programación;150;Exámenes, quices y proyectos;2 horas
Introducción a la Informática; 150; Exámenes, tareas, quices y proyectos;2 horas
Matemáticas Discretas I;150;Exámenes y quices;2 horas
Matemáticas I;150;Exámenes y quices;2 horas 
Algoritmos y estructura de datos;150;Exámenes, quices y proyectos;2 horas
Organización y estructura del computador;150; Exámenes y quices;2 horas
Matemáticas II;150;Exámenes y quices;2 horas
Matemáticas Discretas II;150;Exámenes y quices;2 horas
Ingeniería de Software;150;Exámenes, quices y proyectos;2 horas
Organización y Estructura del Computador II;150; Exámenes y quices;2 horas
Matemáticas III;150;Exámenes y quices;2 horas
Bases de Datos;150;Exámenes, quices y proyectos;2 horas
