ID ACTIVIDAD; ID ASIGNATURA; ID ALUMNO; NOTA
1;6201;29897058;1
2;6201;29897058;9
3;6201;29897058;0
4;6201;29897058;0
5;6301;29897058;14
6;6301;29897058;15
7;6301;29897058;16
8;6301;29897058;13
9;6301;29897058;7
10;8206;29897058;13
11;8206;29897058;12
12;8206;29897058;11
13;8206;29897058;9
14;6106;29897058;20
15;6106;29897058;11
16;6106;29897058;14
17;6106;29897058;16
1;6201;29947565;20
2;6201;29947565;11
3;6201;29947565;14
4;6201;29947565;16
5;6301;29947565;12
6;6301;29947565;6
7;6301;29947565;5
8;6301;29947565;7
9;6301;29947565;11
10;8206;29947565;12
11;8206;29947565;1
12;8206;29947565;0
13;8206;29947565;0
14;6106;29947565;14
15;6106;29947565;11
16;6106;29947565;10
17;6106;29947565;9
1;6201;30824353;13
2;6201;30824353;14
3;6201;30824353;13
4;6201;30824353;11
5;6301;30824353;12
6;6301;30824353;17
7;6301;30824353;18
8;6301;30824353;16
9;6301;30824353;15
10;8206;30824353;11
11;8206;30824353;5
12;8206;30824353;7
13;8206;30824353;3
14;6106;30824353;1
15;6106;30824353;14
16;6106;30824353;11
17;6106;30824353;12
1;6201;30212327;11
2;6201;30212327;13
3;6201;30212327;14
4;6201;30212327;12
5;6301;30212327;13
6;6301;30212327;13
7;6301;30212327;13
8;6301;30212327;13
9;6301;30212327;12
10;8206;30212327;11
11;8206;30212327;16
12;8206;30212327;17
13;8206;30212327;18
14;6106;30212327;10
15;6106;30212327;4
16;6106;30212327;6
17;6106;30212327;17
1;6201;28259397;13
2;6201;28259397;15
3;6201;28259397;17
4;6201;28259397;19
5;6301;28259397;20
6;6301;28259397;13
7;6301;28259397;14
8;6301;28259397;16
9;6301;28259397;15
10;8206;28259397;14
11;8206;28259397;17
12;8206;28259397;18
13;8206;28259397;18
14;6106;28259397;18
15;6106;28259397;19
16;6106;28259397;13
17;6106;28259397;11
1;6201;30326271;18
2;6201;30326271;18
3;6201;30326271;18
4;6201;30326271;18
5;6301;30326271;19
6;6301;30326271;17
7;6301;30326271;16
8;6301;30326271;17
9;6301;30326271;16
10;8206;30326271;15
11;8206;30326271;15
12;8206;30326271;14
13;8206;30326271;16
14;6106;30326271;17
15;6106;30326271;10
16;6106;30326271;11
17;6106;30326271;17
1;6201;30514210;20
2;6201;30514210;20
3;6201;30514210;20
4;6201;30514210;20
5;6301;30514210;15
6;6301;30514210;16
7;6301;30514210;17
8;6301;30514210;18
9;6301;30514210;19
10;8206;30514210;13
11;8206;30514210;20
12;8206;30514210;20
13;8206;30514210;17
14;6106;30514210;18
15;6106;30514210;19
16;6106;30514210;19
17;6106;30514210;17
1;6201;29948475;15
2;6201;29948475;16
3;6201;29948475;16
4;6201;29948475;16
5;6301;29948475;13
6;6301;29948475;11
7;6301;29948475;1
8;6301;29948475;1
9;6301;29948475;1
10;8206;29948475;0
11;8206;29948475;15
12;8206;29948475;16
13;8206;29948475;15
14;6106;29948475;11
15;6106;29948475;12
16;6106;29948475;11
17;6106;29948475;10
1;6201;30124311;10
2;6201;30124311;0
3;6201;30124311;0
4;6201;30124311;0
5;6301;30124311;0
6;6301;30124311;0
7;6301;30124311;0
8;6301;30124311;0
9;6301;30124311;0
10;8206;30124311;10
11;8206;30124311;2
12;8206;30124311;0
13;8206;30124311;0
14;6106;30124311;10
15;6106;30124311;1
16;6106;30124311;0
17;6106;30124311;0
1;6201;29611486;13
2;6201;29611486;14
3;6201;29611486;14
4;6201;29611486;14
5;6301;29611486;12
6;6301;29611486;11
7;6301;29611486;12
8;6301;29611486;12
9;6301;29611486;11
10;8206;29611486;1
11;8206;29611486;0
12;8206;29611486;0
13;8206;29611486;3
14;6106;29611486;0
15;6106;29611486;0
16;6106;29611486;11
17;6106;29611486;6
1;6201;30674225;12
2;6201;30674225;14
3;6201;30674225;14
4;6201;30674225;13
5;6301;30674225;13
6;6301;30674225;12
7;6301;30674225;11
8;6301;30674225;1
9;6301;30674225;1
10;8206;30674225;13
11;8206;30674225;16
12;8206;30674225;17
13;8206;30674225;17
14;6106;30674225;18
15;6106;30674225;19
16;6106;30674225;11
17;6106;30674225;16
1;6201;29850773;16
2;6201;29850773;17
3;6201;29850773;17
4;6201;29850773;14
5;6301;29850773;15
6;6301;29850773;16
7;6301;29850773;16
8;6301;29850773;16
9;6301;29850773;15
10;8206;29850773;15
11;8206;29850773;15
12;8206;29850773;14
13;8206;29850773;13
14;6106;29850773;12
15;6106;29850773;11
16;6106;29850773;1
17;6106;29850773;11
1;6201;30667176;18
2;6201;30667176;18
3;6201;30667176;18
4;6201;30667176;18
5;6301;30667176;17
6;6301;30667176;17
7;6301;30667176;16
8;6301;30667176;16
9;6301;30667176;15
10;8206;30667176;17
11;8206;30667176;18
12;8206;30667176;14
13;8206;30667176;15
14;6106;30667176;15
15;6106;30667176;17
16;6106;30667176;11
17;6106;30667176;9
1;6201;30674158;14
2;6201;30674158;14
3;6201;30674158;14
4;6201;30674158;16
5;6301;30674158;17
6;6301;30674158;16
7;6301;30674158;16
8;6301;30674158;11
9;6301;30674158;14
10;8206;30674158;13
11;8206;30674158;12
12;8206;30674158;15
13;8206;30674158;15
14;6106;30674158;14
15;6106;30674158;14
16;6106;30674158;17
17;6106;30674158;17
1;6201;29885593;16
2;6201;29885593;15
3;6201;29885593;15
4;6201;29885593;13
5;6301;29885593;15
6;6301;29885593;16
7;6301;29885593;16
8;6301;29885593;14
9;6301;29885593;16
10;8206;29885593;13
11;8206;29885593;11
12;8206;29885593;9
13;8206;29885593;8
14;6106;29885593;5
15;6106;29885593;12
16;6106;29885593;5
17;6106;29885593;7
1;6201;28025768;20
2;6201;28025768;20
3;6201;28025768;20
4;6201;28025768;20
5;6301;28025768;20
6;6301;28025768;20
7;6301;28025768;19.9
8;6301;28025768;19.9
9;6301;28025768;9.9
10;8206;28025768;20
11;8206;28025768;20
12;8206;28025768;15
13;8206;28025768;16
14;6106;28025768;16
15;6106;28025768;16
16;6106;28025768;20
17;6106;28025768;19
18;6107;28025768;15
19;6107;28025768;14
20;6107;28025768;15
21;6107;28025768;17
1;6201;30124311;17
2;6201;30124311;20
3;6201;30124311;20
4;6201;30124311;15
5;6301;30124311;20
6;6301;30124311;11
7;6301;30124311;12.9
8;6301;30124311;13.9
9;6301;30124311;10.9
10;8206;30124311;10
11;8206;30124311;20
12;8206;30124311;15
13;8206;30124311;16
14;6106;30124311;16
15;6106;30124311;16
16;6106;30124311;20
17;6106;30124311;19
18;6107;30124311;15
19;6107;30124311;14
20;6107;30124311;15
21;6107;30124311;17
1;6201;29756111;17
2;6201;29756111;20
3;6201;29756111;20
4;6201;29756111;15
5;6301;29756111;20
6;6301;29756111;11
7;6301;29756111;12.9
8;6301;29756111;13.9
9;6301;29756111;10.9
10;8206;29756111;10
11;8206;29756111;20
12;8206;29756111;15
13;8206;29756111;16
14;6106;29756111;16
15;6106;29756111;16
16;6106;29756111;20
17;6106;29756111;19
18;6107;29756111;15
19;6107;29756111;14
20;6107;29756111;15
21;6107;29756111;17
